Algus;Lõpp
20.03.1959;20.05.1959
11.04.1960;18.05.1960
13.03.1961;05.05.1961
02.04.1962;23.05.1962
09.04.1963;30.05.1963
01.04.1964;30.05.1964
22.03.1965;30.05.1965
25.03.1966;06.06.1966
05.03.1967;17.05.1967
22.03.1968;01.05.1968
10.04.1969;28.05.1969
02.04.1970;15.05.1970
21.03.1971;11.05.1971
26.03.1972;15.06.1972
09.03.1973;13.05.1973
19.03.1974;04.05.1974
06.03.1975;13.05.1975
28.03.1976;26.05.1976
12.03.1977;06.06.1977
16.03.1978;04.06.1978
19.03.1979;05.06.1979
02.04.1980;03.06.1980
22.03.1981;25.05.1981
06.03.1982;04.06.1982
20.03.1983;13.06.1983
30.03.1984;02.06.1984
28.03.1985;30.05.1985
05.03.1986;06.06.1986
29.03.1987;06.06.1987
25.03.1988;30.05.1988
05.01.1989;18.04.1989
17.01.1990;14.04.1990
13.03.1991;21.05.1991
23.02.1992;30.03.1992
15.03.1993;14.05.1993
07.03.1994;06.06.1994
13.02.1995;17.05.1995
07.04.1996;26.05.1996
24.02.1997;30.04.1997
21.02.1998;01.04.1998
28.03.1999;03.06.1999
17.03.2000;29.05.2000
02.04.2001;01.06.2001
30.01.2002;16.05.2002
13.03.2003;12.05.2003
15.03.2004;14.05.2004
24.03.2005;07.05.2005
28.03.2006;22.05.2006
09.03.2007;19.04.2007
01.04.2008;30.05.2008
30.03.2009;30.05.2009
28.03.2010;28.05.2010
01.04.2011;13.05.2011
17.03.2012;17.05.2012
11.04.2013;06.06.2013
21.03.2014;03.04.2014
